GO:0018002,GO:0017190
GO:0018002,GO:0017192
GO:0018004,GO:0006498
GO:0018005,GO:0018008
GO:0018005,GO:0051364
GO:0018007,GO:0018005
GO:0018008,GO:0018005
GO:0018009,GO:0046918
GO:0018011,GO:0046897
GO:0018012,GO:0019716
GO:0018013,GO:0018019
GO:0018013,GO:0035570
GO:0018014,GO:0018011
GO:0018014,GO:0046897
GO:0018015,GO:0018013
GO:0018015,GO:0046897
GO:0018019,GO:0018011
GO:0018019,GO:0018013
GO:0018024,GO:0008469
GO:0018058,GO:0031364
GO:0018059,GO:0018060
GO:0018059,GO:0018389
GO:0018060,GO:0018059
GO:0018060,GO:0018278
GO:0018064,GO:0036009
GO:0018064,GO:0106370
GO:0018103,GO:0006487
GO:0018103,GO:0018280
GO:0018111,GO:0008784
GO:0018111,GO:0018114
GO:0018112,GO:0008784
GO:0018112,GO:0030378
GO:0018113,GO:0008784
GO:0018113,GO:0030378
GO:0018114,GO:0008784
GO:0018114,GO:0018111
GO:0018150,GO:0018152
GO:0018152,GO:0018150
GO:0018241,GO:0018245
GO:0018241,GO:0018258
GO:0018242,GO:0018241
GO:0018242,GO:0018245
GO:0018243,GO:0018242
GO:0018243,GO:0018245
GO:0018244,GO:0018317
GO:0018244,GO:0042543
GO:0018245,GO:0018241
GO:0018245,GO:0018243
GO:0018258,GO:0018241
GO:0018258,GO:0018242
GO:0018275,GO:0017189
GO:0018275,GO:0048275
GO:0018278,GO:0018059
GO:0018278,GO:0018060
GO:0018279,GO:0042543
GO:0018280,GO:0018103
GO:0018295,GO:0018297
GO:0018297,GO:0018295
GO:0018301,GO:0018302
GO:0018301,GO:0018415
GO:0018302,GO:0018303
GO:0018302,GO:0018306
GO:0018303,GO:0018302
GO:0018303,GO:0018306
GO:0018306,GO:0018302
GO:0018306,GO:0018303
GO:0018317,GO:0018244
GO:0018386,GO:0018388
GO:0018387,GO:0018059
GO:0018388,GO:0018386
GO:0018389,GO:0018059
GO:0018389,GO:0018278
GO:0018415,GO:0018301
GO:0018415,GO:0018417
GO:0018416,GO:0018418
GO:0018416,GO:0042075
GO:0018417,GO:0018415
GO:0018417,GO:0018441
GO:0018418,GO:0018416
GO:0018425,GO:0018426
GO:0018426,GO:0018425
GO:0018429,GO:0018418
GO:0018441,GO:0019709
GO:0018445,GO:0016085
GO:0018738,GO:0050273
GO:0018739,GO:0003860
GO:0018824,GO:0034022
GO:0018838,GO:0050043
GO:0018854,GO:0018855
GO:0018855,GO:0018854
GO:0018855,GO:0047476
