GO:0019732,GO:0019731
GO:0019886,GO:0002491
GO:0021900,GO:0022023
GO:0021901,GO:0022023
GO:0021902,GO:0021898
GO:0030103,GO:0060986
GO:0030208,GO:0019322
GO:0030209,GO:0019323
GO:0030252,GO:0060986
GO:0030645,GO:0019659
GO:0030645,GO:0061718
GO:0030846,GO:0030847
GO:0030847,GO:0006386
GO:0030847,GO:0030846
GO:0030848,GO:0047447
GO:0031101,GO:0062210
GO:0031101,GO:0062211
GO:0031101,GO:1990523
GO:0031364,GO:0018058
GO:0031366,GO:0031367
GO:0031367,GO:0031366
GO:0031462,GO:0031463
GO:0031462,GO:0031466
GO:0031462,GO:0031467
GO:0031463,GO:0031462
GO:0031463,GO:0031466
GO:0031463,GO:0031467
GO:0031464,GO:0031465
GO:0031465,GO:0031464
GO:0031466,GO:0031462
GO:0031466,GO:0031467
GO:0031466,GO:0035361
GO:0031467,GO:0031463
GO:0031467,GO:0031466
GO:0031467,GO:0035361
GO:0031582,GO:0071807
GO:0031582,GO:0090001
GO:0031642,GO:0031643
GO:0031643,GO:0031642
GO:0031645,GO:0031646
GO:0031645,GO:0051931
GO:0031646,GO:0031645
GO:0031887,GO:0098840
GO:0031898,GO:0034425
GO:0031934,GO:0033553
GO:0031934,GO:1990343
GO:0032065,GO:0033370
GO:0032065,GO:0072595
GO:0032080,GO:0032081
GO:0032080,GO:0032083
GO:0032081,GO:0032082
GO:0032081,GO:0032083
GO:0032082,GO:0032081
GO:0032082,GO:0032083
GO:0032083,GO:0032081
GO:0032083,GO:0032082
GO:0032119,GO:0051208
GO:0032119,GO:0097578
GO:0032149,GO:1905582
GO:0032255,GO:0051906
GO:0032297,GO:0032298
GO:0032298,GO:0032297
GO:0032304,GO:0032305
GO:0032305,GO:0032304
GO:0032307,GO:0032308
GO:0032308,GO:0032307
GO:0032334,GO:0035929
GO:0032548,GO:0032547
GO:0032775,GO:0032776
GO:0032785,GO:2000143
GO:0032815,GO:0032816
GO:0032816,GO:0032815
GO:0032818,GO:0032819
GO:0032819,GO:0032818
GO:0032821,GO:0032822
