GO:0014050,GO:0014049
GO:0014053,GO:0014054
GO:0014054,GO:0014053
GO:0014866,GO:0055003
GO:0015021,GO:0052809
GO:0015126,GO:0090440
GO:0015167,GO:0015170
GO:0015170,GO:0015167
GO:0015170,GO:0015665
GO:0015272,GO:0015467
GO:0015551,GO:1901241
GO:0015575,GO:0015576
GO:0015576,GO:0015577
GO:0015577,GO:0015576
GO:0015685,GO:0015687
GO:0015686,GO:0015687
GO:0015687,GO:0015685
GO:0015708,GO:0098659
GO:0015938,GO:0015937
GO:0015969,GO:0015972
GO:0015970,GO:0015972
GO:0015970,GO:0015973
GO:0015971,GO:0015972
GO:0015971,GO:0015974
GO:0015972,GO:0015969
GO:0015973,GO:0015969
GO:0015973,GO:0015970
GO:0015974,GO:0015969
GO:0015974,GO:0015971
GO:0016024,GO:0046342
GO:0016068,GO:0001802
GO:0016068,GO:0002445
GO:0016206,GO:0047763
GO:0016206,GO:0050342
GO:0016208,GO:0005524
GO:0016208,GO:0019002
GO:0016208,GO:0043531
GO:0016239,GO:0016242
GO:0016242,GO:0016239
GO:0016260,GO:0071268
GO:0016274,GO:0035244
GO:0016279,GO:0016274
GO:0016325,GO:0031122
GO:0016344,GO:0007079
GO:0016345,GO:0016346
GO:0016346,GO:0016345
GO:0016422,GO:0004483
GO:0016422,GO:0062152
GO:0016426,GO:0016423
GO:0016428,GO:0052666
GO:0016428,GO:0052735
GO:0016429,GO:0002935
GO:0016429,GO:0016430
GO:0016430,GO:0002935
GO:0016430,GO:0008988
GO:0016430,GO:0016429
GO:0016433,GO:0016435
GO:0016516,GO:0005894
GO:0016516,GO:0005895
GO:0016516,GO:0005896
GO:0016594,GO:0070406
GO:0016595,GO:0070406
GO:0016867,GO:0016869
GO:0016869,GO:0016867
GO:0016871,GO:0000250
GO:0016993,GO:0043778
GO:0016993,GO:0050070
GO:0017076,GO:0032553
GO:0017146,GO:0032281
GO:0017179,GO:0017182
GO:0017180,GO:0017183
GO:0017181,GO:0017182
GO:0017181,GO:0017184
GO:0017182,GO:0017179
GO:0017183,GO:0017180
GO:0017184,GO:0017181
GO:0018024,GO:0008469
GO:0018024,GO:0140938
GO:0018150,GO:0018152
GO:0018150,GO:0018233
GO:0018152,GO:0018150
GO:0018152,GO:0018233
GO:0018265,GO:0018267
GO:0018265,GO:0018268
GO:0018265,GO:0018269
GO:0018266,GO:0018268
GO:0018266,GO:0018269
GO:0018266,GO:0018270
GO:0018267,GO:0018265
GO:0018267,GO:0018268
GO:0018267,GO:0018269
GO:0018268,GO:0018267
GO:0018268,GO:0018269
GO:0018268,GO:0050493
GO:0018269,GO:0018265
GO:0018269,GO:0018267
GO:0018269,GO:0018268
GO:0018270,GO:0018267
GO:0018270,GO:0018268
GO:0018270,GO:0018269
GO:0018281,GO:0018269
GO:0018281,GO:0050494
GO:0018295,GO:0018297
GO:0018297,GO:0018295
GO:0018299,GO:0018441
GO:0018301,GO:0018302
GO:0018301,GO:0018303
GO:0018301,GO:0018415
GO:0018302,GO:0018303
GO:0018302,GO:0018306
GO:0018303,GO:0018302
GO:0018303,GO:0018306
GO:0018306,GO:0018302
GO:0018306,GO:0018303
GO:0018415,GO:0018301
GO:0018415,GO:0018417
GO:0018415,GO:0018441
GO:0018416,GO:0018418
GO:0018416,GO:0042075
GO:0018417,GO:0018415
GO:0018417,GO:0018441
GO:0018417,GO:0019709
GO:0018418,GO:0018416
GO:0018418,GO:0042075
GO:0018423,GO:0004671
GO:0018429,GO:0018418
GO:0018429,GO:0019709
GO:0018441,GO:0019709
GO:0018824,GO:0034022
GO:0019001,GO:0032555
GO:0019002,GO:0002135
GO:0019002,GO:1901641
GO:0019002,GO:1902249
GO:0019010,GO:0047763
GO:0019264,GO:0019265
GO:0019265,GO:0019264
GO:0019266,GO:0019267
GO:0019267,GO:0019266
GO:0019272,GO:0019273
GO:0019273,GO:0019272
GO:0019276,GO:0006047
GO:0019277,GO:0019278
