GO:0036496,GO:0010998
GO:0036496,GO:1903916
GO:0036497,GO:0036492
GO:0038033,GO:1904859
GO:0039006,GO:0072289
GO:0039519,GO:0039521
GO:0039520,GO:0039521
GO:0039521,GO:0039519
GO:0039640,GO:0090680
GO:0039640,GO:0140913
GO:0039668,GO:0039669
GO:0039669,GO:0039668
GO:0042116,GO:0036230
GO:0042117,GO:0036230
GO:0042119,GO:0043307
GO:0042203,GO:0018971
GO:0042213,GO:1901785
GO:0042273,GO:0042274
GO:0042274,GO:0042273
GO:0042292,GO:0071566
GO:0042293,GO:0019778
GO:0042293,GO:0019779
GO:0042293,GO:0071566
GO:0042410,GO:0018857
GO:0042410,GO:0034842
GO:0042410,GO:0043955
GO:0042544,GO:0000024
GO:0042547,GO:0009827
GO:0042589,GO:0035579
GO:0043045,GO:0043046
GO:0043046,GO:0043045
GO:0043307,GO:0042119
GO:0043308,GO:0043312
GO:0043312,GO:0043308
GO:0043653,GO:0032976
GO:0043758,GO:0003987
GO:0043758,GO:0047612
GO:0043758,GO:0052685
GO:0043759,GO:0047475
GO:0043759,GO:0102391
GO:0043877,GO:0004476
GO:0043877,GO:0050044
GO:0043917,GO:0004751
GO:0043955,GO:0018859
GO:0044001,GO:0035891
GO:0044001,GO:0044409
GO:0044348,GO:0052324
GO:0044409,GO:0035891
GO:0044530,GO:0071023
GO:0044634,GO:0044635
GO:0044635,GO:0044634
GO:0044660,GO:0090680
GO:0044660,GO:0140913
GO:0044693,GO:0009679
GO:0044693,GO:0034215
GO:0044841,GO:0030667
GO:0044841,GO:0090741
GO:0045039,GO:0032979
GO:0045039,GO:0045040
GO:0045040,GO:0032979
GO:0045040,GO:0045039
GO:0045046,GO:0016558
GO:0045227,GO:0045228
GO:0045228,GO:0045227
GO:0045313,GO:0016557
GO:0045313,GO:0160031
GO:0045435,GO:0045436
GO:0045436,GO:0045435
GO:0045456,GO:0120178
GO:0045574,GO:0045461
GO:0045575,GO:0042117
GO:0045766,GO:0016525
GO:0045849,GO:0045850
GO:0045850,GO:0045849
GO:0045947,GO:0045948
GO:0045948,GO:0045947
GO:0045957,GO:0045958
GO:0045958,GO:0045957
GO:0045993,GO:0045994
GO:0045994,GO:0045993
GO:0045999,GO:0046000
GO:0046000,GO:0045999
GO:0046062,GO:0046065
GO:0046062,GO:0046072
GO:0046062,GO:0046073
GO:0046063,GO:0046073
GO:0046064,GO:0006231
GO:0046064,GO:0006242
GO:0046065,GO:0046072
GO:0046065,GO:0046080
GO:0046072,GO:0046062
GO:0046072,GO:0046065
GO:0046072,GO:0046073
GO:0046073,GO:0046065
GO:0046073,GO:0046072
GO:0046074,GO:0006246
GO:0046074,GO:0006257
GO:0046076,GO:0006246
GO:0046077,GO:0046065
GO:0046077,GO:0046078
GO:0046077,GO:0046080
GO:0046078,GO:0046077
GO:0046078,GO:0046080
GO:0046079,GO:0006257
GO:0046079,GO:0046074
GO:0046079,GO:0046081
GO:0046080,GO:0046065
GO:0046080,GO:0046077
GO:0046081,GO:0006253
GO:0046081,GO:0046079
GO:0046166,GO:0019683
GO:0046178,GO:0046180
GO:0046180,GO:0046178
GO:0046252,GO:0018971
GO:0046256,GO:0018975
GO:0046260,GO:0019258
GO:0046263,GO:0018973
GO:0046355,GO:2000895
GO:0046553,GO:0004471
GO:0046553,GO:0030060
GO:0046553,GO:0046554
GO:0046554,GO:0004471
GO:0046554,GO:0052589
GO:0046740,GO:0046741
GO:0046741,GO:0046740
GO:0047475,GO:0030729
GO:0047475,GO:0047760
GO:0047476,GO:0018855
GO:0047476,GO:0034942
GO:0047476,GO:0034943
GO:0047478,GO:0034025
GO:0047541,GO:0016207
GO:0047541,GO:0102637
GO:0047612,GO:0003987
GO:0047612,GO:0043758
GO:0047614,GO:0050100
GO:0047676,GO:0090433
GO:0047707,GO:0047747
GO:0047707,GO:0047779
GO:0047707,GO:0050218
GO:0047747,GO:0047707
GO:0047747,GO:0047779
GO:0047747,GO:0050218
GO:0047750,GO:0004769
GO:0047750,GO:0047614
GO:0047760,GO:0003987
GO:0047760,GO:0050203
GO:0047779,GO:0047707
GO:0047779,GO:0047747
GO:0047828,GO:0008736
GO:0047851,GO:0030729
GO:0047851,GO:0047475
GO:0047851,GO:0050203
GO:0047942,GO:0034024
GO:0047948,GO:0034796
GO:0048685,GO:0048695
GO:0048902,GO:0048922
GO:0048922,GO:0048902
GO:0050008,GO:0047614
GO:0050044,GO:0043877
GO:0050074,GO:0047707
GO:0050074,GO:0047747
GO:0050074,GO:0047779
GO:0050089,GO:0009045
GO:0050100,GO:0047614
GO:0050163,GO:0034018
GO:0050197,GO:0018860
GO:0050197,GO:0034783
GO:0050197,GO:0050218
GO:0050203,GO:0047760
GO:0050203,GO:0050218
GO:0050218,GO:0034783
GO:0050218,GO:0047747
GO:0050218,GO:0050197
GO:0050220,GO:0004667
GO:0050220,GO:0008116
GO:0050261,GO:0009045
GO:0050652,GO:0015014
GO:0050652,GO:0050653
GO:0050653,GO:0015014
GO:0050653,GO:0050652
GO:0050910,GO:0050966
GO:0050910,GO:0071066
GO:0050971,GO:0050966
GO:0050972,GO:0050971
GO:0050972,GO:0050973
GO:0050973,GO:0050971
GO:0050973,GO:0050972
GO:0050976,GO:0050966
GO:0051108,GO:0034796
GO:0051108,GO:0047747
GO:0051108,GO:0050218
GO:0051109,GO:0018860
GO:0051109,GO:0050197
GO:0051274,GO:0030979
GO:0051384,GO:0051385
GO:0051385,GO:0051384
GO:0051412,GO:0051414
GO:0051413,GO:0051412
GO:0051413,GO:0051414
GO:0051414,GO:0051412
GO:0051414,GO:0051413
GO:0051463,GO:0051464
GO:0051464,GO:0051463
GO:0051465,GO:0051460
GO:0051490,GO:0031273
GO:0051569,GO:0051570
GO:0051570,GO:0000414
GO:0051570,GO:0061085
GO:0051571,GO:0051572
GO:0051571,GO:0051574
GO:0051572,GO:0051571
GO:0051572,GO:0051573
GO:0051573,GO:0051574
GO:0051574,GO:0051573
GO:0051574,GO:2001162
GO:0051638,GO:0051696
GO:0051696,GO:0051638
GO:0051750,GO:0004165
GO:0051754,GO:0071962
GO:0051760,GO:0051754
GO:0051967,GO:0060093
GO:0051999,GO:0006676
GO:0052324,GO:0044348
GO:0052482,GO:0052543
GO:0052589,GO:0008924
GO:0052589,GO:0046554
GO:0052685,GO:0043758
GO:0052685,GO:0052686
GO:0052686,GO:0052685
GO:0052687,GO:0018854
GO:0052687,GO:0018855
GO:0052687,GO:0052688
GO:0052688,GO:0018854
GO:0052688,GO:0034865
GO:0052688,GO:0052687
GO:0052727,GO:0052728
GO:0052728,GO:0052727
GO:0055011,GO:0055012
GO:0055012,GO:0055011
GO:0055038,GO:0098895
GO:0055053,GO:0015561
GO:0055054,GO:0015528
GO:0055055,GO:0005359
GO:0060093,GO:0051967
GO:0060201,GO:0060203
GO:0060201,GO:0070083
GO:0060203,GO:0060201
GO:0060203,GO:0070083
GO:0060237,GO:0032995
GO:0060237,GO:2000652
GO:0060288,GO:0090691
GO:0060335,GO:0060340
GO:0060340,GO:0060335
GO:0060734,GO:1903912
GO:0060734,GO:1903916
GO:0060735,GO:0010999
GO:0060870,GO:1902088
GO:0061044,GO:0035470
GO:0061085,GO:0000414
GO:0061085,GO:0051570
GO:0061086,GO:0000415
GO:0061086,GO:0061087
GO:0061087,GO:0051574
GO:0061087,GO:0061086
GO:0061110,GO:0031671
GO:0061202,GO:0060201
GO:0061202,GO:0070083
GO:0061277,GO:0072289
GO:0061295,GO:0072304
GO:0061296,GO:0061297
GO:0061296,GO:0072305
GO:0061297,GO:0061296
GO:0061297,GO:0072306
GO:0061370,GO:0045456
GO:0061370,GO:0120178
GO:0061474,GO:0036020
GO:0061578,GO:0004843
GO:0061578,GO:1990380
GO:0061701,GO:0097691
GO:0061815,GO:0061578
GO:0061815,GO:1990380
GO:0061854,GO:0010763
GO:0061855,GO:0010764
GO:0070076,GO:0070078
GO:0070078,GO:0070079
GO:0070079,GO:0070078
GO:0070083,GO:0060201
GO:0070083,GO:0060203
GO:0070105,GO:1902216
GO:0070109,GO:1903883
GO:0070113,GO:0070114
GO:0070113,GO:0070118
GO:0070114,GO:0070113
GO:0070114,GO:0070118
GO:0070118,GO:0070113
GO:0070118,GO:0070114
GO:0070133,GO:0070134
GO:0070134,GO:0070133
GO:0070251,GO:0018858
GO:0070251,GO:0034783
GO:0070251,GO:0050074
GO:0070273,GO:0010314
GO:0070273,GO:0032266
GO:0070300,GO:0001786
GO:0070300,GO:0035727
GO:0070512,GO:0051574
GO:0070512,GO:0061087
GO:0070512,GO:1905473
GO:0070544,GO:0033169
GO:0070544,GO:0034720
GO:0070544,GO:0071557
GO:0070584,GO:0048311
GO:0070590,GO:0044091
GO:0070601,GO:0007064
GO:0070601,GO:0051177
GO:0070610,GO:0090093
GO:0070610,GO:0090334
GO:0070630,GO:0070596
GO:0070755,GO:0150128
GO:0070760,GO:0070109
GO:0070821,GO:0035579
GO:0070959,GO:0070965
GO:0070965,GO:0070959
GO:0070999,GO:0050910
GO:0070999,GO:0071066
GO:0071004,GO:0071015
GO:0071005,GO:0071016
GO:0071006,GO:0071007
GO:0071006,GO:0071017
GO:0071007,GO:0071006
GO:0071007,GO:0071018
GO:0071008,GO:0071019
GO:0071008,GO:0071021
GO:0071012,GO:0071013
GO:0071013,GO:0071012
GO:0071014,GO:0071020
GO:0071015,GO:0071004
GO:0071015,GO:0071011
GO:0071016,GO:0071005
GO:0071017,GO:0071006
GO:0071017,GO:0071018
GO:0071018,GO:0071007
GO:0071018,GO:0071017
GO:0071019,GO:0071008
GO:0071019,GO:0071022
GO:0071020,GO:0005684
GO:0071021,GO:0071022
GO:0071022,GO:0071021
GO:0071023,GO:0005684
GO:0071023,GO:0044530
GO:0071066,GO:0050910
GO:0071066,GO:0050966
GO:0071205,GO:0002175
GO:0071262,GO:0043561
GO:0071263,GO:0032063
GO:0071263,GO:0071264
GO:0071264,GO:0071263
GO:0071385,GO:0071389
GO:0071386,GO:0071387
GO:0071387,GO:0071386
GO:0071387,GO:0071388
GO:0071388,GO:0071386
GO:0071388,GO:0071387
GO:0071389,GO:0071385
GO:0071440,GO:0090239
GO:0071440,GO:1901674
GO:0071440,GO:2000615
GO:0071441,GO:0071442
GO:0071441,GO:1901675
GO:0071441,GO:2000616
GO:0071442,GO:0071441
GO:0071442,GO:1901676
GO:0071442,GO:2000617
GO:0071557,GO:0033169
GO:0071557,GO:0034720
GO:0071557,GO:0070544
GO:0071566,GO:0042292
GO:0071567,GO:0016929
GO:0071567,GO:0019784
GO:0071641,GO:0071647
GO:0071644,GO:0035532
GO:0071644,GO:0071650
GO:0071647,GO:0071641
GO:0071650,GO:0035532
GO:0071650,GO:0071644
GO:0071653,GO:0035532
GO:0071653,GO:0071650
GO:0071735,GO:0071738
GO:0071735,GO:0071742
