GO:0031384	GO:0031385
GO:0031384	GO:1902917
GO:0031446	GO:0031449
GO:0031447	GO:0031448
GO:0031447	GO:0031450
GO:0031448	GO:0031451
GO:0031450	GO:0031451
GO:0031534	GO:0031535
GO:0031585	GO:0060314
GO:0031586	GO:0031587
GO:0031586	GO:0060315
GO:0031587	GO:0060316
GO:0031887	GO:0047496
GO:0031887	GO:0072383
GO:0031908	GO:0034468
GO:0031948	GO:0045998
GO:0031955	GO:0031956
GO:0031957	GO:0031955
GO:0031957	GO:0031956
GO:0031962	GO:0033142
GO:0031962	GO:0035259
GO:0031972	GO:0031973
GO:0031979	GO:0034774
GO:0032065	GO:0072595
GO:0032119	GO:0097577
GO:0032119	GO:0097578
GO:0032148	GO:0034199
GO:0032148	GO:1990051
GO:0032255	GO:0051906
GO:0032258	GO:0120113
GO:0032263	GO:0032264
GO:0032275	GO:0046884
GO:0032413	GO:0032414
GO:0032416	GO:0032417
GO:0032417	GO:1903281
GO:0032595	GO:0033606
GO:0032599	GO:0032596
GO:0032810	GO:0034056
GO:0032810	GO:0035497
GO:0032919	GO:0032918
GO:0032972	GO:1904114
GO:0032978	GO:0098737
GO:0033033	GO:1904036
GO:0033033	GO:2000107
GO:0033034	GO:2000108
GO:0033068	GO:0140446
GO:0033078	GO:0045065
GO:0033078	GO:0160083
GO:0033137	GO:0050732
GO:0033138	GO:0050731
GO:0033142	GO:0035259
GO:0033142	GO:0050681
GO:0033156	GO:2001092
GO:0033302	GO:0033329
GO:0033303	GO:0033330
GO:0033303	GO:1901734
GO:0033304	GO:0052644
GO:0033305	GO:0033310
GO:0033311	GO:0033312
GO:0033323	GO:0033324
GO:0033323	GO:0033325
GO:0033324	GO:0033325
GO:0033369	GO:0033376
GO:0033369	GO:0033378
GO:0033370	GO:0033377
GO:0033370	GO:0033379
GO:0033387	GO:0033388
GO:0033389	GO:0033390
GO:0033485	GO:0033486
GO:0033485	GO:0033487
GO:0033486	GO:0033487
GO:0033487	GO:0051557
GO:0033498	GO:0033499
GO:0033511	GO:1901734
GO:0033527	GO:0033526
GO:0033574	GO:0051412
GO:0033594	GO:1903494
GO:0033627	GO:0044331
GO:0033631	GO:0044331
GO:0033660	GO:0052005
GO:0033660	GO:0052170
GO:0033722	GO:0102984
GO:0033723	GO:0050569
GO:0033862	GO:0120136
GO:0033893	GO:0033896
GO:0033894	GO:0043822
GO:0033899	GO:0033901
GO:0033900	GO:0033901
GO:0033985	GO:0034492
GO:0034055	GO:0080185
GO:0034056	GO:0035497
GO:0034056	GO:0035538
GO:0034077	GO:0051143
GO:0034077	GO:1900552
GO:0034109	GO:0034113
GO:0034117	GO:0070527
GO:0034126	GO:0034129
GO:0034130	GO:0034134
GO:0034130	GO:0034142
GO:0034133	GO:0034141
GO:0034133	GO:0034153
GO:0034137	GO:0034141
GO:0034141	GO:0034153
GO:0034145	GO:0034157
GO:0034145	GO:0034161
GO:0034146	GO:0034150
GO:0034149	GO:0034157
GO:0034153	GO:0034157
GO:0034153	GO:0034161
GO:0034157	GO:0034161
GO:0034158	GO:0034174
GO:0034162	GO:0034170
GO:0034173	GO:0034181
GO:0034174	GO:0034178
GO:0034177	GO:0034181
GO:0034177	GO:2000442
GO:0034199	GO:1990051
GO:0034295	GO:0075243
GO:0034296	GO:0075243
GO:0034297	GO:0034298
GO:0034297	GO:0048315
GO:0034299	GO:0034298
GO:0034300	GO:0034301
GO:0034301	GO:0034303
GO:0034302	GO:0075247
GO:0034303	GO:0075255
GO:0034304	GO:0001410
GO:0034304	GO:0034301
GO:0034351	GO:1904036
GO:0034351	GO:2000107
GO:0034352	GO:1904037
GO:0034352	GO:2000108
GO:0034354	GO:0034628
GO:0034356	GO:0034627
GO:0034422	GO:0034774
GO:0034446	GO:0007160
GO:0034446	GO:0036164
GO:0034466	GO:0035578
GO:0034467	GO:0043160
GO:0034492	GO:0110145
GO:0034494	GO:0110145
GO:0034591	GO:0005796
GO:0034592	GO:0062246
GO:0034602	GO:0050164
GO:0034604	GO:0050243
GO:0034610	GO:0034611
GO:0034664	GO:0034663
GO:0034695	GO:0071798
GO:0034823	GO:0047747
GO:0034823	GO:0047779
GO:0034823	GO:0050203
GO:0035249	GO:0051932
GO:0035249	GO:0099155
GO:0035306	GO:0042327
GO:0035582	GO:0035583
GO:0035623	GO:0097017
GO:0035660	GO:0035661
GO:0035660	GO:0035665
GO:0035661	GO:0035660
GO:0035665	GO:0035667
GO:0035665	GO:0035669
GO:0035666	GO:0035668
GO:0035667	GO:0035665
GO:0035667	GO:0035669
GO:0035669	GO:0035665
GO:0035683	GO:0035684
GO:0035687	GO:0035699
GO:0035696	GO:0072672
GO:0035696	GO:0072682
GO:0035697	GO:0035684
GO:0035698	GO:0035699
GO:0035704	GO:0035705
GO:0035704	GO:0035707
GO:0035705	GO:0035706
GO:0035705	GO:0035707
GO:0035706	GO:0035707
GO:0035710	GO:0036037
GO:0035711	GO:0035712
GO:0035720	GO:0035721
GO:0035729	GO:0071364
GO:0035739	GO:0035740
GO:0035744	GO:0035745
GO:0035753	GO:0043007
GO:0035753	GO:0043571
GO:0035810	GO:0035811
GO:0035812	GO:0180002
GO:0035819	GO:0035818
GO:0035898	GO:0035930
GO:0035924	GO:0071364
GO:0035924	GO:1990090
GO:0035931	GO:0035933
GO:0035934	GO:0043400
GO:0035935	GO:0045457
GO:0035937	GO:0035938
GO:0035937	GO:0035943
GO:0035938	GO:0035943
GO:0036067	GO:0036068
GO:0036069	GO:0036070
GO:0036120	GO:0071364
GO:0036160	GO:0030103
GO:0036160	GO:0036322
GO:0036161	GO:0070459
GO:0036164	GO:0007160
GO:0036228	GO:0089705
GO:0036250	GO:0047497
GO:0036287	GO:1905119
GO:0036316	GO:0006621
